dataset,strategy,length_or_k,method,accuracy,f1_score,train_size,test_size,status,grid_search_time,lgbm_colsample_bytree,lgbm_learning_rate,lgbm_max_depth,lgbm_n_estimators,lgbm_subsample
datasets/BPI_Challenge_2017.xes,last10,400,Bigram,0.45454545454545453,0.4186147186147186,113,22,Success,16.969109535217285,1.0,0.05,-1,100,0.8
datasets/BPI_Challenge_2017.xes,last10,400,W2V,0.8181818181818182,0.7899449035812672,113,22,Success,31.09281849861145,0.8,0.1,-1,50,0.8
datasets/BPI_Challenge_2017.xes,last10,400,D2V,0.45454545454545453,0.3792540792540793,113,22,Success,35.82870173454285,1.0,0.05,-1,50,0.8
datasets/BPI_Challenge_2017.xes,last10,400,BERT,0.8636363636363636,0.8732782369146004,113,22,Success,41.26466369628906,0.8,0.05,-1,200,0.8
datasets/BPI_Challenge_2017.xes,last10,400,ACF,0.6363636363636364,0.6136363636363636,113,22,Success,404.25242352485657,1.0,0.05,-1,50,0.8
datasets/BPI_Challenge_2017.xes,last20,400,Baseline,0.6363636363636364,0.6616161616161617,113,22,Success,32.74432849884033,0.8,0.05,-1,200,0.8
datasets/BPI_Challenge_2017.xes,last20,400,OHE,0.5,0.4731934731934732,113,22,Success,6.100337266921997,0.8,0.05,-1,100,0.8
datasets/BPI_Challenge_2017.xes,last20,400,Bigram,0.5909090909090909,0.49724517906336096,113,22,Success,23.09907627105713,0.8,0.05,-1,50,0.8
datasets/BPI_Challenge_2017.xes,last20,400,W2V,0.7727272727272727,0.7658402203856749,113,22,Success,31.698740243911743,0.8,0.1,-1,100,0.8
datasets/BPI_Challenge_2017.xes,last20,400,D2V,0.3181818181818182,0.30303030303030304,113,22,Success,40.05189347267151,0.8,0.1,-1,200,0.8
datasets/BPI_Challenge_2017.xes,last20,400,BERT,0.6818181818181818,0.6183195592286502,113,22,Success,43.35922574996948,0.8,0.05,-1,50,0.8
datasets/BPI_Challenge_2017.xes,last20,400,ACF,0.3181818181818182,0.29494949494949496,113,22,Success,558.3301103115082,0.8,0.05,-1,100,0.8
datasets/BPI_Challenge_2017.xes,last3,600,Baseline,0.75,0.7185714285714286,110,21,Success,22.46267032623291,1.0,0.1,-1,200,0.8
datasets/BPI_Challenge_2017.xes,last3,600,OHE,0.4,0.3572649572649573,110,21,Success,3.981320381164551,0.8,0.05,-1,50,0.8
datasets/BPI_Challenge_2017.xes,last3,600,Bigram,0.3,0.2011904761904762,110,21,Success,3.8989758491516113,0.8,0.05,-1,50,0.8
datasets/BPI_Challenge_2017.xes,last3,600,W2V,0.75,0.7185714285714286,110,21,Success,26.549757719039917,0.8,0.05,-1,200,0.8
datasets/BPI_Challenge_2017.xes,last3,600,D2V,0.47619047619047616,0.4470899470899471,110,21,Success,31.672281503677368,0.8,0.1,-1,200,0.8
datasets/BPI_Challenge_2017.xes,last3,600,BERT,0.75,0.7185714285714286,110,21,Success,30.812599897384644,0.8,0.05,-1,50,0.8
